,M,T,W,R,F,Tmax,Tmin,FeelsLike,Precipitation,WindSpeed,CloudCover,RelativeHumidity,Demand
6634,0,0,0,0,1,43.4,35.3,30.9,0.12,13.8,98.9,82.94,866.0
6635,1,0,0,0,0,36.8,34.0,29.5,0.0,6.5,99.7,71.84,894.0
6636,0,1,0,0,0,41.5,32.3,26.5,0.0,6.1,83.9,71.17,311.0
6637,0,0,1,0,0,37.9,34.1,28.4,0.61,6.4,98.8,86.43,824.0
6638,0,0,0,1,0,34.1,29.6,26.0,0.0,6.8,99.7,71.5,285.0
6639,0,0,0,0,1,38.5,27.8,32.3,0.0,2.5,46.3,72.34,929.0
6640,1,0,0,0,0,37.5,28.0,33.4,0.19,3.0,85.8,91.22,898.0
6641,0,1,0,0,0,40.1,28.7,33.4,0.0,6.2,76.6,87.6,317.0
6642,0,0,1,0,0,40.1,27.3,36.2,0.0,3.9,43.6,78.45,916.0
6643,0,0,0,1,0,43.0,23.9,40.1,0.0,3.4,37.3,80.91,302.0
6644,0,0,0,0,1,40.1,30.5,28.1,0.06,9.3,68.6,79.9,869.0
6645,1,0,0,0,0,33.8,30.2,23.3,0.07,14.3,97.4,78.38,810.0
6646,0,1,0,0,0,39.4,32.9,24.3,0.0,11.2,99.9,70.76,237.0
6647,0,0,1,0,0,37.1,27.7,26.6,0.0,12.0,90.4,74.74,783.0
6648,0,0,0,1,0,43.5,27.0,31.0,0.0,6.2,73.3,72.1,262.0
6649,0,0,0,0,1,42.5,30.9,28.7,0.0,14.6,47.3,55.45,843.0
6650,1,0,0,0,0,40.9,30.6,30.0,0.18,6.8,93.7,87.59,910.0
6651,0,1,0,0,0,45.8,33.2,28.9,0.0,9.6,49.9,73.69,302.0
6652,0,0,1,0,0,39.0,25.6,25.9,0.0,4.7,3.9,49.79,924.0
6653,0,0,0,1,0,44.7,26.1,25.2,0.19,3.8,85.7,53.51,292.0
6654,0,0,0,0,1,51.4,37.3,42.5,1.6,4.7,99.5,95.47,788.0
6655,1,0,0,0,0,61.2,41.2,43.7,0.5,15.0,60.0,77.13,832.0
6656,0,1,0,0,0,52.8,36.3,29.0,0.18,13.2,71.4,73.43,283.0
6657,0,0,1,0,0,35.2,22.1,14.9,0.04,11.8,72.0,67.64,841.0
6658,0,0,0,1,0,33.7,20.4,14.6,0.0,5.7,29.0,61.8,302.0
6659,0,0,0,0,1,42.5,22.4,31.1,0.35,6.0,58.4,70.47,903.0
6660,1,0,0,0,0,46.9,36.8,33.6,0.32,6.3,95.7,87.2,869.0
6661,0,1,0,0,0,39.8,28.2,20.6,0.14,10.2,99.6,86.54,250.0
6662,0,0,1,0,0,30.7,26.6,17.1,0.03,11.5,82.1,70.13,812.0
6663,0,0,0,1,0,34.8,22.7,17.4,0.0,9.8,30.6,61.26,274.0
6664,0,0,0,0,1,43.9,20.2,27.9,0.17,5.8,74.0,67.79,894.0
6665,1,0,0,0,0,43.4,29.2,30.1,0.16,16.5,66.1,66.66,761.0
6666,0,1,0,0,0,44.3,24.4,31.1,0.05,9.7,60.9,64.44,284.0
6667,0,0,1,0,0,37.8,26.0,28.1,0.26,7.9,72.4,83.96,905.0
6668,0,0,0,1,0,50.7,23.0,20.6,0.0,3.9,12.6,66.07,305.0
6669,0,0,0,0,1,52.4,34.4,31.8,0.01,3.3,77.7,80.26,934.0
6670,1,0,0,0,0,60.3,39.8,38.9,0.0,6.3,82.9,73.89,931.0
6671,0,1,0,0,0,46.1,41.4,37.9,0.77,6.0,93.7,91.97,275.0
6672,0,0,1,0,0,43.3,39.3,33.9,0.31,7.7,100.0,90.88,864.0
6673,0,0,0,1,0,44.2,38.5,35.5,0.75,4.9,98.5,92.97,235.0
6674,0,0,0,0,1,43.3,37.9,34.7,0.0,5.8,96.6,86.97,883.0
6675,1,0,0,0,0,54.3,36.2,35.0,0.28,9.4,91.9,85.59,831.0
6676,0,1,0,0,0,48.9,22.8,15.7,0.02,17.1,99.3,79.2,256.0
6677,0,0,1,0,0,45.7,22.4,16.4,0.17,7.4,59.6,62.17,850.0
6678,0,0,0,1,0,43.5,33.4,29.3,1.16,5.9,97.8,89.88,245.0
6679,0,0,0,0,1,39.9,27.8,22.0,0.03,8.3,86.9,81.15,894.0
6680,1,0,0,0,0,38.6,22.8,14.9,0.0,9.9,39.1,65.29,931.0
6681,0,1,0,0,0,50.0,22.1,21.1,0.0,8.4,26.7,54.26,300.0
6682,0,0,1,0,0,49.4,38.3,34.2,0.59,11.3,68.4,64.99,799.0
6683,0,0,0,1,0,58.2,30.9,31.3,0.0,15.0,2.8,57.78,248.0
6684,0,0,0,0,1,66.0,32.9,42.9,0.0,14.1,21.0,52.38,912.0
6685,1,0,0,0,0,58.4,44.2,42.9,0.0,5.4,44.7,43.03,1006.0
6686,0,1,0,0,0,48.9,42.9,38.3,0.81,9.1,91.1,67.75,285.0
6687,0,0,1,0,0,52.9,42.6,39.2,0.48,6.0,99.0,94.19,904.0
6688,0,0,0,1,0,71.6,52.0,62.1,0.23,14.6,89.5,78.1,290.0
6689,0,0,0,0,1,60.4,39.2,34.4,0.86,11.0,88.6,68.32,805.0
6690,1,0,0,0,0,46.5,32.7,29.9,0.0,6.4,52.3,50.08,872.0
6691,0,1,0,0,0,54.3,29.8,35.9,0.0,7.5,3.7,53.41,309.0
6692,0,0,1,0,0,58.4,31.7,36.7,0.0,12.6,8.5,47.27,888.0
6693,0,0,0,1,0,44.1,33.0,27.9,0.0,8.4,32.9,39.8,298.0
6694,0,0,0,0,1,47.7,31.9,32.6,0.0,10.9,38.1,37.85,829.0
6695,1,0,0,0,0,52.2,21.8,33.8,0.0,13.1,18.4,43.58,879.0
6696,0,1,0,0,0,60.4,22.2,49.0,0.0,8.7,19.0,38.95,267.0
6697,0,0,1,0,0,64.5,26.9,44.8,0.0,11.5,39.7,44.39,871.0
6698,0,0,0,1,0,71.6,31.2,29.3,0.0,9.0,32.6,45.44,288.0
6699,0,0,0,0,1,70.7,40.2,55.6,0.0,17.9,44.1,49.65,826.0
6700,1,0,0,0,0,63.3,45.1,54.1,0.13,4.8,88.1,78.53,952.0
6701,0,1,0,0,0,63.6,45.0,42.0,0.01,5.5,90.1,61.37,298.0
6702,0,0,1,0,0,60.3,36.4,48.4,0.04,5.6,60.1,50.99,930.0
6703,0,0,0,1,0,64.8,46.3,44.1,0.05,12.0,93.3,51.23,237.0
6704,0,0,0,0,1,65.2,43.3,39.7,0.08,12.6,91.4,74.01,879.0
6705,1,0,0,0,0,71.1,50.4,60.6,0.17,8.5,86.0,73.66,912.0
6706,0,1,0,0,0,68.8,51.7,59.4,1.03,12.3,89.8,81.5,294.0
6707,0,0,1,0,0,52.7,42.7,39.9,0.35,15.9,83.1,72.97,805.0
6708,0,0,0,1,0,61.0,29.9,26.5,0.0,10.5,8.4,43.28,305.0
6709,0,0,0,0,1,65.3,34.3,35.9,0.0,11.3,10.1,40.19,882.0
6710,1,0,0,0,0,69.2,37.2,35.3,0.0,8.7,24.9,41.43,915.0
6711,0,1,0,0,0,66.5,45.8,45.1,0.0,13.1,74.5,60.11,266.0
6712,0,0,1,0,0,74.9,57.1,64.7,0.05,13.7,81.4,60.08,905.0
6713,0,0,0,1,0,65.1,51.9,58.4,1.27,8.8,84.5,85.4,263.0
6714,0,0,0,0,1,72.4,52.5,64.4,0.15,13.0,62.1,61.56,892.0
6715,1,0,0,0,0,58.9,42.2,46.2,1.3,18.1,60.8,84.72,773.0
6716,0,1,0,0,0,65.3,48.5,43.5,1.15,18.9,89.7,79.62,234.0
6717,0,0,1,0,0,61.3,32.0,35.6,0.0,13.1,10.0,50.34,912.0
6718,0,0,0,1,0,73.4,36.1,55.4,0.0,12.1,19.1,53.55,296.0
6719,0,0,0,0,1,64.1,40.6,35.8,0.97,14.0,86.6,82.49,808.0
6720,1,0,0,0,0,39.4,31.5,22.8,0.04,15.9,89.7,65.15,815.0
6721,0,1,0,0,0,46.1,27.6,20.2,0.0,13.2,35.8,39.09,281.0
6722,0,0,1,0,0,58.6,23.4,41.4,0.0,7.0,5.2,47.95,914.0
6723,0,0,0,1,0,68.4,31.6,49.4,0.0,11.2,1.2,49.91,307.0
6724,0,0,0,0,1,73.4,37.5,54.6,0.0,7.9,13.4,53.17,998.0
6725,1,0,0,0,0,75.2,40.1,58.0,0.0,12.5,18.0,56.83,955.0
6726,0,1,0,0,0,80.0,43.9,79.0,0.0,4.9,28.9,57.6,316.0
6727,0,0,1,0,0,75.2,50.5,62.1,0.11,12.7,58.4,64.26,941.0
6728,0,0,0,1,0,78.6,53.5,65.0,0.07,13.5,42.8,58.2,240.0
6729,0,0,0,0,1,71.2,52.8,61.3,0.28,13.5,65.0,77.18,904.0
6730,1,0,0,0,0,67.5,53.4,59.3,0.02,20.4,52.0,63.09,884.0
6731,0,1,0,0,0,74.1,41.0,42.3,0.0,20.0,1.8,46.99,283.0
6732,0,0,1,0,0,66.7,45.4,57.0,0.01,5.6,47.5,61.05,955.0
6733,0,0,0,1,0,75.6,46.8,60.1,0.13,14.2,58.6,66.72,301.0
6734,0,0,0,0,1,61.0,46.2,42.7,0.02,17.2,68.5,59.96,826.0
6735,1,0,0,0,0,62.1,31.8,44.9,0.0,9.1,35.2,56.66,938.0
6736,0,1,0,0,0,59.4,38.9,50.2,0.0,8.6,88.3,62.22,297.0
6737,0,0,1,0,0,64.0,46.1,46.2,0.0,7.6,87.2,53.36,922.0
6738,0,0,0,1,0,63.3,46.4,46.1,0.02,10.8,70.6,54.53,275.0
6739,0,0,0,0,1,72.8,38.5,55.9,0.0,14.8,31.3,56.9,890.0
6740,1,0,0,0,0,55.7,34.4,30.7,0.03,15.8,82.2,59.03,805.0
6741,0,1,0,0,0,53.6,25.8,31.1,0.0,14.3,23.2,55.61,264.0
6742,0,0,1,0,0,57.3,28.8,44.1,0.0,10.6,36.8,58.16,899.0
6743,0,0,0,1,0,57.4,44.0,43.8,0.76,8.5,57.8,80.51,298.0
6744,0,0,0,0,1,63.2,47.7,48.3,0.04,10.7,51.4,69.64,909.0
6745,1,0,0,0,0,77.3,37.8,47.7,0.0,5.3,12.9,58.33,1009.0
6746,0,1,0,0,0,81.6,47.9,80.6,0.0,9.1,23.5,58.97,347.0
6747,0,0,1,0,0,81.2,58.7,81.4,0.0,14.6,73.3,65.66,881.0
6748,0,0,0,1,0,77.7,58.8,68.6,0.03,18.1,83.9,72.42,280.0
6749,0,0,0,0,1,72.7,51.0,63.4,0.09,17.6,40.5,55.24,869.0
6750,1,0,0,0,0,86.5,66.4,88.9,0.0,6.4,57.1,77.67,1003.0
6751,0,1,0,0,0,87.8,66.8,89.2,0.0,10.4,41.4,74.5,350.0
6752,0,0,1,0,0,89.0,65.6,91.5,0.0,6.9,39.4,76.62,1031.0
6753,0,0,0,1,0,86.9,66.8,91.1,0.0,10.4,52.0,80.55,338.0
6754,0,0,0,0,1,85.4,68.2,90.3,0.42,6.5,49.8,82.33,988.0
6755,1,0,0,0,0,82.6,70.2,85.9,0.58,12.8,67.5,83.84,932.0
6756,0,1,0,0,0,82.3,69.6,83.7,0.0,5.5,67.4,80.26,354.0
6757,0,0,1,0,0,82.6,69.7,86.3,0.25,4.6,71.3,86.65,1048.0
6758,0,0,0,1,0,82.8,70.1,87.7,0.29,5.3,60.9,87.33,307.0
6759,0,0,0,0,1,86.8,70.4,92.4,0.14,14.2,55.2,85.54,942.0
6760,1,0,0,0,0,86.9,68.9,90.6,0.02,18.8,61.1,84.03,937.0
6761,0,1,0,0,0,85.1,69.5,86.7,0.15,12.1,59.4,79.68,306.0
6762,0,0,1,0,0,79.2,58.0,68.6,0.0,6.9,36.3,69.77,996.0
6763,0,0,0,1,0,81.8,53.0,80.7,0.0,4.0,10.1,72.15,314.0
6764,0,0,0,0,1,83.0,56.4,82.4,0.0,7.0,10.5,74.34,1018.0
6765,1,0,0,0,0,86.7,58.2,86.1,0.0,6.6,14.9,71.69,1043.0
6766,0,1,0,0,0,84.5,62.0,85.7,0.01,8.2,51.7,75.74,346.0
6767,0,0,1,0,0,86.6,63.3,89.2,0.01,5.5,37.0,78.45,1058.0
6768,0,0,0,1,0,89.5,65.1,92.8,0.15,6.8,36.6,79.7,321.0
6769,0,0,0,0,1,83.1,69.5,86.1,0.19,10.8,55.5,79.56,1003.0
6770,1,0,0,0,0,85.2,68.0,87.4,0.32,6.5,68.4,80.32,985.0
6771,0,1,0,0,0,81.1,64.9,82.8,0.03,8.4,57.1,80.47,332.0
6772,0,0,1,0,0,78.1,60.6,67.9,0.0,11.5,40.7,74.9,998.0
6773,0,0,0,1,0,79.3,55.4,66.4,0.0,6.6,31.6,75.1,316.0
6774,0,0,0,0,1,69.4,62.9,65.8,0.84,5.9,64.2,91.18,918.0
6775,1,0,0,0,0,71.8,55.7,64.6,0.0,9.6,67.7,80.41,983.0
6776,0,1,0,0,0,69.3,52.2,59.4,0.0,6.6,66.6,79.17,300.0
6777,0,0,1,0,0,71.0,45.6,44.4,0.0,7.6,1.8,62.16,1018.0
6778,0,0,0,1,0,71.0,44.2,43.3,0.0,7.8,0.3,59.39,301.0
6779,0,0,0,0,1,70.4,42.2,55.7,0.0,7.3,28.4,71.91,981.0
6780,1,0,0,0,0,68.7,50.9,58.5,0.0,4.2,69.3,79.99,955.0
6781,0,1,0,0,0,63.3,57.4,59.7,0.34,6.0,78.2,91.53,315.0
6782,0,0,1,0,0,64.4,58.6,61.2,1.42,7.1,78.9,95.67,871.0
6783,0,0,0,1,0,73.5,59.4,65.6,0.0,4.8,80.9,86.92,338.0
6784,0,0,0,0,1,76.3,60.7,66.8,0.0,3.5,71.7,84.93,1006.0
6785,1,0,0,0,0,79.6,61.2,69.4,0.2,8.8,57.8,78.99,1057.0
6786,0,1,0,0,0,66.6,52.8,56.4,0.96,9.7,72.5,93.81,290.0
6787,0,0,1,0,0,67.5,45.5,46.1,0.0,13.8,34.0,77.69,927.0
6788,0,0,0,1,0,69.8,46.5,56.9,0.0,10.9,34.1,76.25,315.0
6789,0,0,0,0,1,62.0,40.1,46.2,0.0,5.4,32.5,75.35,1017.0
6790,1,0,0,0,0,66.9,39.7,47.5,0.0,6.4,19.6,74.43,999.0
6791,0,1,0,0,0,68.8,42.5,41.8,0.0,10.6,20.1,77.16,326.0
6792,0,0,1,0,0,67.6,47.8,55.8,0.0,6.6,39.1,76.45,1015.0
6793,0,0,0,1,0,73.7,43.1,56.6,0.0,10.9,10.7,78.68,301.0
6794,0,0,0,0,1,75.2,47.6,59.9,0.0,12.2,23.0,79.47,946.0
6795,1,0,0,0,0,79.3,49.6,62.8,0.0,5.8,32.8,79.28,959.0
6796,0,1,0,0,0,72.1,54.9,62.7,0.0,6.8,67.7,81.04,275.0
6797,0,0,1,0,0,64.5,60.0,62.4,0.89,6.3,89.0,95.03,881.0
6798,0,0,0,1,0,72.7,63.0,66.8,0.92,9.0,90.9,86.88,279.0
6799,0,0,0,0,1,72.8,60.9,65.8,0.01,6.9,86.1,88.98,967.0
6800,1,0,0,0,0,69.0,47.6,61.5,0.06,8.7,60.7,78.48,960.0
6801,0,1,0,0,0,75.5,42.2,55.3,0.0,3.6,11.3,71.69,347.0
6802,0,0,1,0,0,76.5,44.6,59.7,0.0,12.5,27.7,75.59,953.0
6803,0,0,0,1,0,62.5,43.0,49.5,0.04,8.6,76.9,67.46,297.0
6804,0,0,0,0,1,60.9,34.6,31.9,0.0,4.3,21.5,65.24,987.0
6805,1,0,0,0,0,68.7,37.0,40.1,0.0,4.9,8.6,64.34,983.0
6806,0,1,0,0,0,73.5,44.0,43.0,0.0,5.9,21.1,72.04,301.0
6807,0,0,1,0,0,76.6,48.0,47.8,0.0,3.4,10.8,78.25,1015.0
6808,0,0,0,1,0,78.5,48.4,61.6,0.0,5.6,10.5,76.39,341.0
6809,0,0,0,0,1,81.2,51.4,80.5,0.0,4.1,21.0,76.26,1088.0
6810,1,0,0,0,0,79.5,51.3,63.8,0.01,7.6,31.9,77.46,1016.0
6811,0,1,0,0,0,72.5,56.1,63.8,0.07,5.3,76.4,85.36,348.0
6812,0,0,1,0,0,74.7,57.9,65.3,0.04,6.9,72.1,80.72,960.0
6813,0,0,0,1,0,74.0,56.7,64.2,0.0,7.7,81.0,79.32,293.0
6814,0,0,0,0,1,73.7,56.6,65.1,0.0,8.4,74.4,78.84,964.0
6815,1,0,0,0,0,66.8,54.6,61.4,0.48,3.9,83.2,93.39,985.0
6816,0,1,0,0,0,77.7,63.9,68.1,1.32,16.2,88.4,85.85,229.0
6817,0,0,1,0,0,60.8,43.6,42.1,0.14,19.0,87.5,69.61,812.0
6818,0,0,0,1,0,61.1,33.8,43.2,0.0,6.6,19.8,69.04,285.0
6819,0,0,0,0,1,63.1,43.6,34.9,0.03,21.5,69.5,63.81,840.0
6820,1,0,0,0,0,48.1,30.4,24.0,0.0,16.6,21.0,47.07,873.0
6821,0,1,0,0,0,58.5,27.3,34.6,0.0,6.6,0.8,59.89,304.0
6822,0,0,1,0,0,69.3,32.2,49.1,0.0,6.5,0.0,62.21,916.0
6823,0,0,0,1,0,66.7,36.4,49.5,0.0,6.7,22.3,64.89,310.0
6824,0,0,0,0,1,72.2,38.8,52.5,0.0,3.2,26.1,66.0,1015.0
6825,1,0,0,0,0,76.0,39.4,55.2,0.0,2.3,0.0,72.31,1030.0
6826,0,1,0,0,0,76.9,45.9,47.1,0.0,7.4,23.2,73.85,310.0
6827,0,0,1,0,0,77.3,50.8,62.8,0.0,8.9,17.8,69.45,1013.0
6828,0,0,0,1,0,76.7,51.5,64.5,0.03,10.1,43.8,73.69,298.0
6829,0,0,0,0,1,75.4,64.0,68.3,1.03,6.7,94.0,88.95,955.0
6830,1,0,0,0,0,64.0,55.3,60.1,0.87,8.9,95.3,87.7,877.0
6831,0,1,0,0,0,65.0,44.4,46.3,0.01,12.1,60.4,69.56,305.0
6832,0,0,1,0,0,66.9,37.0,46.7,0.0,4.6,49.1,68.85,1019.0
6833,0,0,0,1,0,70.6,48.5,44.9,0.04,24.5,46.8,60.03,250.0
6834,0,0,0,0,1,54.9,32.1,34.2,0.0,14.0,0.1,53.83,910.0
6835,1,0,0,0,0,50.9,30.2,27.5,0.0,15.2,13.3,53.77,911.0
6836,0,1,0,0,0,47.1,26.9,26.2,0.0,6.4,2.6,55.07,332.0
6837,0,0,1,0,0,62.5,28.6,25.8,0.0,5.2,0.6,55.39,938.0
6838,0,0,0,1,0,63.0,30.5,43.8,0.0,12.4,1.6,70.37,278.0
6839,0,0,0,0,1,65.2,34.3,46.9,0.0,2.3,30.8,77.87,1011.0
6840,1,0,0,0,0,64.6,40.4,51.6,0.0,11.9,65.6,75.45,914.0
6841,0,1,0,0,0,55.1,33.6,35.7,0.24,11.5,59.6,70.53,277.0
6842,0,0,1,0,0,56.9,29.5,38.7,0.0,5.7,44.0,69.04,989.0
6843,0,0,0,1,0,65.7,38.5,35.5,0.01,13.2,78.3,64.17,269.0
6844,0,0,0,0,1,65.6,43.3,57.1,0.01,12.4,52.4,74.66,959.0
6845,1,0,0,0,0,59.8,35.7,46.1,0.0,8.8,47.2,80.61,924.0
6846,0,1,0,0,0,59.3,38.8,39.1,0.0,6.8,40.7,70.48,310.0
6847,0,0,1,0,0,57.6,32.4,44.3,0.01,5.1,51.7,74.01,959.0
6848,0,0,0,1,0,49.4,33.0,24.0,0.39,16.1,98.4,90.69,251.0
6849,0,0,0,0,1,32.6,28.4,17.8,0.07,14.8,99.4,81.03,858.0
6850,1,0,0,0,0,40.4,24.1,16.6,0.0,10.4,42.7,72.39,895.0
6851,0,1,0,0,0,52.7,20.5,28.5,0.0,4.2,37.7,71.11,308.0
6852,0,0,1,0,0,47.4,37.8,36.6,0.54,7.3,93.4,78.45,851.0
6853,0,0,0,1,0,45.8,30.9,31.8,0.03,13.5,79.8,77.45,273.0
6854,0,0,0,0,1,49.7,26.2,46.1,0.0,4.9,43.2,85.57,961.0
6855,1,0,0,0,0,39.4,31.5,23.9,0.15,11.7,98.0,83.15,813.0
6856,0,1,0,0,0,35.3,27.1,21.3,0.0,8.8,75.8,62.08,258.0
6857,0,0,1,0,0,48.5,23.2,29.0,0.0,12.7,48.4,79.0,903.0
6858,0,0,0,1,0,59.7,27.5,38.3,0.0,3.6,39.5,77.97,331.0
6859,0,0,0,0,1,62.8,31.1,44.5,0.0,5.4,31.6,71.69,977.0
6860,1,0,0,0,0,65.7,39.3,37.3,0.02,12.6,79.9,71.59,857.0
6861,0,1,0,0,0,59.1,42.9,43.7,0.02,11.0,66.4,83.36,278.0
6862,0,0,1,0,0,45.1,36.8,33.1,1.0,11.9,97.1,85.56,823.0
6863,0,0,0,1,0,47.9,27.8,24.8,0.0,6.0,42.5,70.0,331.0
6864,0,0,0,0,1,43.4,34.1,28.2,0.3,7.1,87.3,84.11,920.0
6865,1,0,0,0,0,40.6,32.9,25.5,0.02,10.3,100.0,83.25,814.0
6866,0,1,0,0,0,34.6,25.7,22.7,0.0,9.6,89.5,76.21,281.0
6867,0,0,1,0,0,46.0,22.1,23.0,0.0,4.4,60.9,75.94,927.0
6868,0,0,0,1,0,47.7,34.0,35.2,0.0,5.4,97.6,74.48,279.0
6869,0,0,0,0,1,50.7,36.4,32.3,0.04,15.9,64.5,78.16,833.0
6870,1,0,0,0,0,48.2,30.0,32.0,0.0,15.1,10.1,56.57,882.0
6871,0,1,0,0,0,56.9,26.5,34.9,0.0,11.4,39.8,59.71,267.0
6872,0,0,1,0,0,55.1,28.3,18.5,1.32,23.3,94.5,82.16,678.0
6873,0,0,0,1,0,26.4,14.8,3.9,0.05,16.5,87.6,75.42,245.0
6874,0,0,0,0,1,28.0,8.2,-1.6,0.02,9.8,22.8,76.62,863.0
6875,1,0,0,0,0,45.4,14.1,27.8,0.0,3.6,31.9,78.99,962.0
6876,0,1,0,0,0,41.9,28.3,26.7,0.0,3.3,88.5,88.64,275.0
6877,0,0,1,0,0,49.0,28.8,35.9,0.0,4.4,39.1,78.34,1016.0
6878,0,0,0,1,0,55.6,34.4,30.7,0.0,12.0,58.1,67.86,245.0
6879,0,0,0,0,1,54.5,37.1,46.0,0.06,3.4,76.8,91.88,935.0
6880,1,0,0,0,0,59.6,44.0,45.5,0.57,10.4,81.5,87.51,820.0
6881,0,1,0,0,0,60.6,43.0,50.9,0.0,5.8,79.2,80.25,337.0
6882,0,0,1,0,0,48.2,38.8,32.9,0.02,12.2,99.0,83.66,902.0
6883,0,0,0,1,0,45.1,34.6,31.7,0.01,8.1,73.3,76.12,313.0
6884,0,0,0,0,1,43.4,35.3,30.9,0.12,13.8,98.9,82.94,835.0
6885,1,0,0,0,0,36.8,34.0,29.5,0.0,6.5,99.7,71.84,870.0
6886,0,1,0,0,0,41.5,32.3,26.5,0.0,6.1,83.9,71.17,297.0
6887,0,0,1,0,0,37.9,34.1,28.4,0.61,6.4,98.8,86.43,857.0
6888,0,0,0,1,0,34.1,29.6,26.0,0.0,6.8,99.7,71.5,278.0
6889,0,0,0,0,1,38.5,27.8,32.3,0.0,2.5,46.3,72.34,964.0
6890,1,0,0,0,0,37.5,28.0,33.4,0.19,3.0,85.8,91.22,934.0
6891,0,1,0,0,0,40.1,28.7,33.4,0.0,6.2,76.6,87.6,300.0
6892,0,0,1,0,0,40.1,27.3,36.2,0.0,3.9,43.6,78.45,955.0
6893,0,0,0,1,0,43.0,23.9,40.1,0.0,3.4,37.3,80.91,296.0
6894,0,0,0,0,1,40.1,30.5,28.1,0.06,9.3,68.6,79.9,872.0
6895,1,0,0,0,0,33.8,30.2,23.3,0.07,14.3,97.4,78.38,828.0
6896,0,1,0,0,0,39.4,32.9,24.3,0.0,11.2,99.9,70.76,272.0
6897,0,0,1,0,0,37.1,27.7,26.6,0.0,12.0,90.4,74.74,878.0
6898,0,0,0,1,0,43.5,27.0,31.0,0.0,6.2,73.3,72.1,269.0
6899,0,0,0,0,1,42.5,30.9,28.7,0.0,14.6,47.3,55.45,868.0
6900,1,0,0,0,0,40.9,30.6,30.0,0.18,6.8,93.7,87.59,900.0
6901,0,1,0,0,0,45.8,33.2,28.9,0.0,9.6,49.9,73.69,296.0
6902,0,0,1,0,0,39.0,25.6,25.9,0.0,4.7,3.9,49.79,997.0
6903,0,0,0,1,0,44.7,26.1,25.2,0.19,3.8,85.7,53.51,267.0
6904,0,0,0,0,1,51.4,37.3,42.5,1.6,4.7,99.5,95.47,801.0
6905,1,0,0,0,0,61.2,41.2,43.7,0.5,15.0,60.0,77.13,833.0
6906,0,1,0,0,0,52.8,36.3,29.0,0.18,13.2,71.4,73.43,272.0
6907,0,0,1,0,0,35.2,22.1,14.9,0.04,11.8,72.0,67.64,875.0
6908,0,0,0,1,0,33.7,20.4,14.6,0.0,5.7,29.0,61.8,303.0
6909,0,0,0,0,1,42.5,22.4,31.1,0.35,6.0,58.4,70.47,846.0
6910,1,0,0,0,0,46.9,36.8,33.6,0.32,6.3,95.7,87.2,881.0
6911,0,1,0,0,0,39.8,28.2,20.6,0.14,10.2,99.6,86.54,279.0
6912,0,0,1,0,0,30.7,26.6,17.1,0.03,11.5,82.1,70.13,842.0
6913,0,0,0,1,0,34.8,22.7,17.4,0.0,9.8,30.6,61.26,273.0
6914,0,0,0,0,1,43.9,20.2,27.9,0.17,5.8,74.0,67.79,884.0
6915,1,0,0,0,0,43.4,29.2,30.1,0.16,16.5,66.1,66.66,801.0
6916,0,1,0,0,0,44.3,24.4,31.1,0.05,9.7,60.9,64.44,282.0
6917,0,0,1,0,0,37.8,26.0,28.1,0.26,7.9,72.4,83.96,868.0
6918,0,0,0,1,0,50.7,23.0,20.6,0.0,3.9,12.6,66.07,309.0
6919,0,0,0,0,1,52.4,34.4,31.8,0.01,3.3,77.7,80.26,921.0
6920,1,0,0,0,0,60.3,39.8,38.9,0.0,6.3,82.9,73.89,924.0
6921,0,1,0,0,0,46.1,41.4,37.9,0.77,6.0,93.7,91.97,252.0
6922,0,0,1,0,0,43.3,39.3,33.9,0.31,7.7,100.0,90.88,908.0
6923,0,0,0,1,0,44.2,38.5,35.5,0.75,4.9,98.5,92.97,271.0
6924,0,0,0,0,1,43.3,37.9,34.7,0.0,5.8,96.6,86.97,927.0
6925,1,0,0,0,0,54.3,36.2,35.0,0.28,9.4,91.9,85.59,823.0
6926,0,1,0,0,0,48.9,22.8,15.7,0.02,17.1,99.3,79.2,227.0
6927,0,0,1,0,0,45.7,22.4,16.4,0.17,7.4,59.6,62.17,886.0
6928,0,0,0,1,0,43.5,33.4,29.3,1.16,5.9,97.8,89.88,244.0
6929,0,0,0,0,1,39.9,27.8,22.0,0.03,8.3,86.9,81.15,897.0
6930,1,0,0,0,0,38.6,22.8,14.9,0.0,9.9,39.1,65.29,899.0
6931,0,1,0,0,0,50.0,22.1,21.1,0.0,8.4,26.7,54.26,264.0
6932,0,0,1,0,0,49.4,38.3,34.2,0.59,11.3,68.4,64.99,849.0
6933,0,0,0,1,0,58.2,30.9,31.3,0.0,15.0,2.8,57.78,257.0
6934,0,0,0,0,1,66.0,32.9,42.9,0.0,14.1,21.0,52.38,940.0
6935,1,0,0,0,0,58.4,44.2,42.9,0.0,5.4,44.7,43.03,1007.0
6936,0,1,0,0,0,48.9,42.9,38.3,0.81,9.1,91.1,67.75,264.0
6937,0,0,1,0,0,52.9,42.6,39.2,0.48,6.0,99.0,94.19,867.0
6938,0,0,0,1,0,71.6,52.0,62.1,0.23,14.6,89.5,78.1,254.0
6939,0,0,0,0,1,60.4,39.2,34.4,0.86,11.0,88.6,68.32,850.0
6940,1,0,0,0,0,46.5,32.7,29.9,0.0,6.4,52.3,50.08,875.0
6941,0,1,0,0,0,54.3,29.8,35.9,0.0,7.5,3.7,53.41,286.0
6942,0,0,1,0,0,58.4,31.7,36.7,0.0,12.6,8.5,47.27,919.0
